subtask,language,domain,split,polarity,matched_annotations,skipped_invalid_va,valence_mean,valence_std,arousal_mean,arousal_std
1,eng,laptop,dev,NEG,39,0,2.9892307692307694,0.6734502993687961,6.498205128205129,1.1589404351740402
1,eng,laptop,dev,NEU,7,0,5.0685714285714285,0.23215934007416866,5.6000000000000005,0.4545955816515849
1,eng,laptop,dev,POS,229,0,7.386855895196506,0.6110887136210489,7.177117903930131,0.7153259794254794
1,eng,laptop,test,NEG,438,0,3.0211415525114154,0.6886589927339865,6.488356164383561,0.8845319899152667
1,eng,laptop,test,NEU,83,0,5.043253012048193,0.32206827246638525,5.8026506024096385,0.8036949075534496
1,eng,laptop,test,POS,900,0,7.189988888888888,0.6266853719627568,7.081444444444444,0.5733772485334612
1,eng,laptop,train,NEG,1450,0,3.3782620689655167,0.7002385900848334,6.114655172413793,0.9533400007111863
1,eng,laptop,train,NEU,755,0,4.9310463576158945,0.31285244681816143,5.183774834437086,0.3617850185284005
1,eng,laptop,train,POS,3539,0,7.191404351511727,0.6014800715357446,7.208301780163888,0.665010286734985
1,eng,restaurant,dev,NEG,48,0,3.062291666666667,0.7822889480645172,6.259166666666666,1.0338375785822882
1,eng,restaurant,dev,NEU,16,0,4.89625,0.3479560855912711,5.274375,0.2971945648476768
1,eng,restaurant,dev,POS,275,0,7.290836363636363,0.5703935089403825,7.142945454545455,0.6118131449205064
1,eng,restaurant,test,NEG,356,0,2.912752808988764,0.7308139648748884,6.717696629213483,0.8027524826592591
1,eng,restaurant,test,NEU,74,0,5.032567567567568,0.32347380031260314,5.616891891891892,0.9906180512426432
1,eng,restaurant,test,POS,1074,0,7.438631284916201,0.6464298804249152,7.2631936685288645,0.6204540790167138
1,eng,restaurant,train,NEG,685,0,3.0844671532846717,0.8403547482674754,6.3178978102189784,1.206831873973753
1,eng,restaurant,train,NEU,527,0,4.996394686907021,0.27143916782836186,5.130853889943074,0.3507928556972163
1,eng,restaurant,train,POS,2439,0,7.361861418614187,0.6444857242591796,7.360377203772037,0.7150949764380886
1,jpn,finance,dev,NEG,123,0,3.529512195121951,0.4551580689578708,5.527154471544716,0.5327387747806631
1,jpn,finance,dev,NEU,12,0,5.155833333333333,0.3857343285503926,4.760833333333333,0.8870969350765576
1,jpn,finance,dev,POS,184,0,6.295978260869566,0.5165112057006767,5.6116847826086955,0.5279265106413924
1,jpn,finance,test,NEG,450,0,3.676911111111111,0.46182922876666205,5.577266666666667,0.49317866494360396
1,jpn,finance,test,NEU,78,0,5.036282051282051,0.33507790511813274,4.85025641025641,0.5676378729142383
1,jpn,finance,test,POS,774,0,6.21640826873385,0.4662010620063684,5.589534883720931,0.5388424675686554
1,jpn,finance,train,NEG,601,0,3.6193344425956737,0.4941847077959463,5.471747088186356,0.5549892678691399
1,jpn,finance,train,NEU,83,0,5.214578313253012,0.31699759113074827,4.517831325301205,0.7210435011738131
1,jpn,finance,train,POS,988,0,6.147408906882592,0.36358923580092833,5.40328947368421,0.4343693474108968
1,jpn,hotel,dev,NEG,64,0,3.37234375,0.6892857312725525,6.07890625,0.8570336143996555
1,jpn,hotel,dev,NEU,7,0,5.2542857142857144,0.2540448297253932,4.8428571428571425,0.39546407767924247
1,jpn,hotel,dev,POS,213,0,6.955586854460094,0.5856710434149877,6.580798122065728,0.7289736959494113
1,jpn,hotel,test,NEG,250,0,3.52888,0.43779486703249504,6.00036,0.47926638772190144
